scenario,method,feasible,total_cost,remote_flights,zone_mismatches,weighted_walk_m,service_ext_min,n_delayed
28,FCFS,True,61735.4,10.0,17.0,508.85,522.0,9
28,Priority Dispatch,True,54501.4,10.0,16.0,428.83,524.0,9
28,Optimized MILP,True,48678.6,8.0,13.0,392.98,455.0,9
29,FCFS,True,66434.6,11.0,20.0,544.1,561.0,6
29,Priority Dispatch,True,54340.4,10.0,15.0,426.48,519.0,6
29,Optimized MILP,True,51486.3,9.0,12.0,412.02,479.0,6
30,FCFS,True,66747.1,11.0,18.0,553.05,557.0,9
30,Priority Dispatch,True,59474.9,12.0,13.0,460.84,566.0,9
30,Optimized MILP,True,56819.1,11.0,10.0,449.1,526.0,9
31,FCFS,False,,,,,,15
31,Priority Dispatch,False,,,,,,15
31,Optimized MILP,False,,,,,,15
32,FCFS,True,62926.3,10.0,14.0,528.07,511.0,10
32,Priority Dispatch,True,54255.8,10.0,14.0,428.47,518.0,10
32,Optimized MILP,True,51472.5,9.0,10.0,415.26,472.0,10
33,FCFS,True,62573.4,10.0,20.0,513.76,536.0,12
33,Priority Dispatch,True,57012.0,11.0,15.0,444.2,547.0,12
33,Optimized MILP,True,51935.0,9.0,11.0,419.27,477.0,12
34,FCFS,True,61274.4,10.0,19.0,499.92,533.0,12
34,Priority Dispatch,True,54507.4,10.0,15.0,428.77,519.0,12
34,Optimized MILP,True,51690.7,9.0,11.0,416.74,475.0,12
35,FCFS,True,65556.4,11.0,19.0,538.09,559.0,4
35,Priority Dispatch,True,56980.8,11.0,15.0,444.18,546.0,4
35,Optimized MILP,True,54391.7,10.0,11.0,433.22,501.0,4
36,FCFS,True,63672.3,10.0,18.0,528.56,526.0,13
36,Priority Dispatch,True,52252.9,9.0,16.0,416.09,498.0,13
36,Optimized MILP,True,51527.5,9.0,12.0,415.05,479.0,13
37,FCFS,True,60413.7,10.0,17.0,492.37,524.0,8
37,Priority Dispatch,True,54248.2,10.0,15.0,425.22,519.0,8
37,Optimized MILP,True,49070.5,8.0,10.0,405.36,446.0,8
38,FCFS,True,57240.9,9.0,17.0,467.36,497.0,15
38,Priority Dispatch,True,54108.5,10.0,15.0,423.71,518.0,15
38,Optimized MILP,True,51171.2,9.0,12.0,407.7,479.0,15
39,FCFS,False,,,,,,11
39,Priority Dispatch,False,,,,,,11
39,Optimized MILP,False,,,,,,11
40,FCFS,True,66744.9,11.0,18.0,551.78,554.0,8
40,Priority Dispatch,True,54255.4,10.0,16.0,425.04,519.0,8
40,Optimized MILP,True,51264.5,9.0,11.0,410.49,476.0,8
41,FCFS,True,59719.3,9.0,21.0,491.62,512.0,6
41,Priority Dispatch,True,59514.8,12.0,14.0,459.87,569.0,6
41,Optimized MILP,True,51588.4,9.0,11.0,415.75,474.0,6
42,FCFS,True,66898.6,11.0,16.0,558.97,549.0,12
42,Priority Dispatch,True,56821.6,11.0,15.0,441.17,542.0,12
42,Optimized MILP,True,53983.4,10.0,11.0,425.56,500.0,12
43,FCFS,True,66590.8,11.0,17.0,552.82,553.0,10
43,Priority Dispatch,True,59389.5,12.0,13.0,459.66,566.0,10
43,Optimized MILP,True,56850.0,11.0,9.0,451.44,522.0,10
44,FCFS,True,62319.1,10.0,16.0,516.72,517.0,12
44,Priority Dispatch,True,49505.0,8.0,16.0,398.15,474.0,12
44,Optimized MILP,True,48748.1,8.0,11.0,396.54,450.0,12
45,FCFS,False,,,,,,16
