method,total_cost_mean,total_cost_std,remote_flights_mean,remote_flights_std,zone_mismatches_mean,zone_mismatches_std,weighted_walk_m_mean,weighted_walk_m_std,service_ext_min_mean,service_ext_min_std,feasibility_rate
FCFS,61587.26625,3407.260147077,9.7375,0.8530474039686902,18.025,1.778742266499818,509.30237500000004,29.686021056832608,519.7875,22.811108636258602,0.8
Optimized MILP,50168.707407407404,3001.225349743741,8.518518518518519,1.1080513425729774,11.506172839506172,1.2157657750377275,405.15790123456793,20.297490159872574,464.5308641975309,27.724576831645738,0.81
Priority Dispatch,53929.333333333336,2894.6915865894675,9.833333333333334,1.1329385612423053,15.179487179487179,1.2457052427366402,424.15294871794873,18.499117080298266,515.0641025641025,27.556949175941952,0.78
